CÓDIGO;REFERÊNCIA;DESCRIÇÃO;NCM;UN;REFERÊNCIAS;EST.;APL.;RES.;VENDA;MÉDIO;VENDA;CUSTO;SETOR;RUA;BLOCO;ANDAR
3094;426-1032;426-1032-BOLT 5/8-11X2.00 HH GR8 Z;73181500;UN;426-1032;0;0;0;15,58;10,4;0;0;12D08;;;
86620;86620;47889012 ROLETE DE ACO;84314929;UN;47889012;0;0;0;1121,63;785,72;0;0;;;;
1114;4892713;4892713-ANEL TRAVA DE ACO P/PI;73182400;UN;4892713;0;0;0;1,26;0,715;0;0,15;02D40;;;
396;4899239;4899239-ANEL BORRACHA VEDACAO;40169300;UN;4899239;2;0;0;5,58;5,1025;11,16;10,21;03H16;;;
5050;492-11038;492-11038-ARRUELA 3/8 SPRING LOCK RE;73182100;UN;492-11038;0;0;0;0,13;0,0725;0;0,15;20B04;;;
5642;5133737;5133737-ROLAMENTO CONICO DE ROLOS;84822010;UN;5133737;0;0;0;67,58;38,335;0;7,81;2,00E+18;;;
4640;70673983;70673983-ANEL RETENTOR DE BORRACHA;40169300;UN;70673983;0;0;0;11,81;6,7;0;0,68;06C29;;;
4662;ALT-70923595;70923595-ANEL BORR.VULC.N/ENDUREC.;40169300;UN;ALT-70923595;0;0;0;3,11;1,61;0;0,16;27B13;;;
5157;ALT-70925995;70925995-ANEL TRAVA ACO MEDIO CARB,;73182900;UN;ALT-70925995;0;0;0;8,47;4,365;0;0,89;27B28;;;
5718;ALT-71004868;71004868-DISCO ENCOSTO DE ACO DA EMB;84839000;UN;ALT-71004868;0;0;0;64,27;33,14;0;3,38;28D05;;;
3754;71102719;71102719-ELEMENTO SEC.FILT.AR ACO E;84219999;UN;71102719;0;0;0;97,95;65,37619;0;0;23I01;;;
2450;71104733;71104733 - TRATAMENTO MULTF. ACTOIL 20L;38119090;BD;71104733;0;0;0;4327,75;89,226;0;0;DEP06X02;;;
199;71415158;71415158-RETENTOR DE VEDACAO DE PLAS;39269090;UN;71415158;0;0;0;6,13;3,476;0;3,54;03I03;;;
4605;71484462;71484462-ANEL DE BORRACHA;40169300;UN;71484462;0;0;0;0,43;0,245714;0;0,17;100I08;;;
296;72110358;72110358-CORREIA DE BORRACHA;40103900;UN;72110358;0;0;0;395,58;224,37;0;45,74;COR-03;;;
5174;73109875;73109875-ANEL TRAVA DE ACO;73182900;UN;73109875;0;0;0;19,23;10,908889;0;10;12A21;;;
5750;735040026;735040026 - CONJ ASPIRATOR;85086000;UN;735040026;0;0;0;436,37;247,505;0;50,45;0;;;
5751;735040056;735040056-CONJ ASPIRATOR;85086000;UN;735040056;0;0;0;436,37;247,5;0;25,23;0;;;
5270;75206146;75206146-MOLA ACO P/FREIO ESTACIONAM;73209000;UN;75206146;0;0;0;10,8;6,125;0;3,75;04A04;;;
5369;75223506;75223506-CJ. SOLDADO DO EIXO;84099999;UN;75223506;0;0;0;2650,63;1769,15;0;0;;;;
4853;75239532;75239532-PINO DENTE REF.27VPL;73181500;UN;75239532;0;0;0;26,46;15,01;0;6,12;11B10;;;
5287;75266712;75266712 - TAMPA DE AÇO;73269090;UN;75266712;0;0;0;21,62;12,26;0;7,5;14I08;;;
5466;ALT-75266800;75266800-FACA LATERAL DE ACO;84314200;UN;ALT-75266800,506059;0;0;0;318,06;197,125;0;0;DEP03A06;;;
5523;75267435;75267435-SUPORTE COMANDO ACELERAD.;84314929;UN;75267435;0;0;0;98,27;61,42;0;0;;;;
5755;75288215;75288215-KIT ESCOVA MOTOR PARTIDA;85119000;UN;75288215;0;0;0;13,5;8,44;0;0;06C30;;;
5034;75288917;75288917-RESPIRO DE ACO DO EIXO;73181900;UN;75288917;0;0;0;8,27;4,69;0;0,48;12G24;;;
2660;75313194;75313194-ANEL DE BORRACHA;40169300;UN;75313194;0;0;0;7,06;4,0025;0;1,63;03G13;;;
5486;ALT-75327449;75327449-ENCAIXE DENTE ESCARIFIC.;84314929;UN;ALT-75327449;0;0;0;79,34;45,08;0;0;28F03;;;
5789;79073032;79073032-CHAVE GERAL SIST.ELETRICO 1;85365090;UN;79073032;0;0;0;72,94;45,59;0;0;18A07;;;
5355;79073033;79073033-CHAVE DE IGNICAO;83017000;UN;79073033;0;0;0;22,42;12,72;0;1,29;02F23;;;
5770;82030990;82030990-LAMINA DO LIMPADOR 550 MM;85129000;UN;82030990;0;0;0;34;21,25;0;0;13F01;;;
4773;8292188;8292188-MEIA-FALANGE DE ACO;73079100;UN;8292188;0;0;0;3,38;1,915;0;0,39;04H07;;;
4690;83961985;83961985-ARRUELA DE BORRACHA DO COMP;40169990;UN;83961985;0;0;0;2,61;1,63;0;0;21C10;;;
5560;84143846;84143846-EIXO DO IMPULSOR C/PLANETAR;84314929;UN;84143846;0;0;0;272,3;170,19;0;0;18A05;;;
5283;84154306;84154306-CALCO 0.45MM TRANSMISSAO;73269090;UN;84154306;0;0;0;1,89;1,07;0;0,33;02G20;;;
1479;84160467;84160467-FILTRO DE OLEO MOTOR;84212300;UN;84160467;0;0;0;23,14;14,46;0;0;17000000;;;
5381;84196302;84196302-RESPIRO DO MOTOR - ACO;84099999;UN;84196302;0;0;0;138,56;86,6;0;0;;;;
5430;84202794;84202794-FILTRO DE OLEO HIDRAULICO;84212990;UN;84202794;0;0;0;60,54;34,34;0;3,5;;;;
5487;ALT-84248656;84248656-EIXO ACO COMP.302 LANCA/CIL;84314929;UN;ALT-84248656;0;0;0;51,83;29,45;0;0;28A06;;;
5786;84282677;84282677-INTERRUPTOR ELETRICO PLASTI;85365090;UN;84282677;0;0;0;517,79;323,62;0;0;5E+12;;;
5464;84465125;84465125-ELEMENTO DO FILTRO DE AR;84219999;UN;84465125;0;0;0;52,32;29,674545;0;0;17B04;;;
460;85824343;85824343-RETENTOR BORRACHA PARA EIXO;40169300;UN;85824343;0;0;0;52,78;35,23;0;0;02B35;;;
4663;ALT-85824343;85824343-RETENTOR BORRACHA PARA EIXO;40169300;UN;ALT-85824343;0;0;0;21,05;10,855;0;2,21;27A26;;;
4456;85826230;85826230-CORREIA DE BORRACHA P/ MOTO;40103100;UN;85826230;0;0;0;25,2;14,292;0;7,29;COR-10;;;
1355;8602542;8602542-CONEXAO DE BRONZE;74122000;UN;8602542;0;0;0;16,91;9,6;0;0,97;04C06;;;
5648;8603301;8603301-ROLAMENTO DE ROLETES DE ACO;84825010;UN;8603301;0;0;0;239,34;135,75;0;13,84;;;;
5237;8603427;8603427-ANEL DE ACO 3,9MM;73182900;UN;8603427;0;0;0;23,02;13,06;0;2,66;1,20E+20;;;
5836;8604701;8604701-DISCO DE ACO P/EMBREAGEM;87089300;UN;8604701;0;0;0;80,56;50,35;0;0;21A01;;;
5760;87443081;87443081-LUZ ILUMINADORA;85122021;UN;87443081;0;0;0;76,62;47,89;0;0;;;;
5032;ALT-87569;87569-GRAXEIRA DE ACO MD CARB, SE;73181900;UN;ALT-87569;0;0;0;1,47;0,76;0;0,16;27B03;;;
275;87588086;87588086-CORREIA DO MOTOR - BORRACHA;40103100;UN;87588086;0;0;0;228,27;152,36;0;0;COR-18;;;
5724;87595407;87595407-JUNTA ACO MEDIO CARBON SEM;84841000;UN;87595407;0;0;0;296,77;168,32;0;17,16;23C01;;;
5725;87595412;87595412-JUNTA ACO MEDIO CARBON SEM;84841000;UN;87595412;0;0;0;424,67;240,87;0;24,55;15B07;;;
